name,url,phone,category,latitude,longitude,Address,City,Pincode
Fish Thyme,https://m.yelp.com/biz/fish-thyme-acworth?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-974-2323,Cafes; cafes; American (New); newamerican; Seafood; seafood; ,34.050728,-84.663654,3979 S Main St, Acworth, GA 30101
China Wok,https://m.yelp.com/biz/china-wok-kennesaw-2?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-427-2555,Chinese; chinese; ,34.0497799054302,-84.6109553070082,2090 Baker Rd NW, Kennesaw, GA 30144
Mediterranean Bistro,https://m.yelp.com/biz/mediterranean-bistro-kennesaw-4?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-429-1999,Mediterranean; mediterranean; Diners; diners; ,34.0496148798807,-84.596379919574,3940 Cherokee St, Kennesaw, GA 30144
Donny's Country Cooking,https://m.yelp.com/biz/donnys-country-cooking-kennesaw?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-499-1111,Buffets; buffets; ,34.04902,-84.59685,3940 Cherokee St NW, Kennesaw, GA 30144
Johnny's New York Style Pizza,https://m.yelp.com/biz/johnnys-new-york-style-pizza-kennesaw-5?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-355-0825,Pizza; pizza; Italian; italian; Sandwiches; sandwiches; ,34.04902,-84.59685,3940 Cherokee St, Kennesaw, GA 30144
Wendy's,https://m.yelp.com/biz/wendys-kennesaw?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-581-0375,Fast Food; hotdogs; Burgers; burgers; ,34.0500908,-84.5973969,4065 Cherokee St, Kennesaw, GA 30144
Bojangles,https://m.yelp.com/biz/bojangles-kennesaw?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-401-6168,Fast Food; hotdogs; ,34.0504133559678,-84.5966818889194,4071 Cherokee St NW, Kennesaw, GA 30144
Mazzy's Sports Bar & Grill,https://m.yelp.com/biz/mazzys-sports-bar-and-grill-kennesaw?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-693-9918,Sports Bars; sportsbars; ,34.0491800550788,-84.5965569934845,3940 Cherokee St, Kennesaw, GA 30144
Waffle House - 640,https://m.yelp.com/biz/waffle-house-640-kennesaw?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-421-8199,Diners; diners; Breakfast & Brunch; breakfast_brunch; American (New); newamerican; ,34.0561669,-84.5925304,1470 George Busbee, Kennesaw, GA 30144
Ralph's Tavern,https://m.yelp.com/biz/ralphs-tavern-kennesaw?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-928-6136,American (New); newamerican; Sports Bars; sportsbars; ,34.0555992,-84.5541992,4290 Bells Ferry Rd NW, Kennesaw, GA 30144
